ciudad,pais,nacido,años,jug,id_jug
Barcelona,España,14/10/2004,20,Omar Thiam,30003479
Ferrol,España,15/12/1995,29,Alberto Abalde,20210088
Azuqueca de Henares,España,09/03/2002,23,Usman Garuba,20212174
Barcelona,España,11/03/1998,27,Aleix Font,20210147
Mahón,España,15/11/1987,37,Sergio Llull,20201774
Ripoll,España,24/02/1989,36,Xavi Rabaseda,20203590
Girona,España,15/05/1998,27,Eric Vila,20211456
Puerto Real,España,23/01/2003,22,Rubén Domínguez,20212114
Las Palmas de Gran Canaria,España,23/12/1992,32,Fran Guerra,20209934
Sant Just Desvern,España,27/02/1993,32,Lluís Costa,20209470
Inca,España,10/12/1991,33,Joan Sastre,20203882
Palma de Mallorca,España,17/02/1997,28,Sergi García,20210685
Llucmajor (Mallorca),España,05/09/1989,35,Pere Tomàs,20203675
Barcelona,España,04/04/2000,25,Joel Parra,20212265
Marbella,España,22/10/1995,29,Rubén Guerrero,20210707
Madrid,España,04/06/2004,21,Juan Núñez,30000093
Alcalá de Henares (Madrid),España,19/11/1995,29,Iván Aurrecoechea,20210887
Madrid,España,24/08/1994,30,Edgar Vicedo,20209139
Palma de Mallorca,España,01/08/1993,31,Álex Abrines,20209223
Madrid,España,28/04/1997,28,Santi Yusta,20210918
Girona,España,20/05/1994,31,Oriol Paulí,20209098
Valladolid,España,20/03/1999,26,Miguel González,20212476
Barcelona,España,09/08/2004,20,Rafael Villar,30001243
Zaragoza,España,15/07/2000,24,Jaime Fernández,20212348
Tárrega,España,25/09/1992,32,Pierre Oriola,20202164
Yecla,España,13/08/1997,27,Chumi Ortega,20210959
Barcelona,España,29/04/1992,33,Ferran Bassas,20200243
Zaragoza,España,30/12/2000,24,Carlos Alocén,20210357
Vilanova i la Geltrú,España,03/11/1994,30,Miquel Salvó,20212441
Barcelona,España,09/05/1991,34,Nacho Llovet,20203810
Getxo,España,19/05/1997,28,Xabi López-Arostegui,20211660
L'Hospitalet de Llobregat,España,28/02/1990,35,Dani Pérez,20203826
Málaga,España,14/04/2006,19,Mario Saint-Supery,20213210
Zaragoza,España,03/01/2001,24,Jaime Pradilla,20211129
Cáceres,España,17/12/1993,31,Álex Reyes,20204133
Almussafes,España,08/03/1999,26,Josep Puerto,20210392
Barcelona,España,16/06/1993,32,Guillem Vives,20204158
Granollers,España,02/03/1999,26,Pep Busquets,20211754
Granollers,España,02/03/1999,26,Pep Busquets,20211754
Barcelona,España,02/03/1987,38,Pau Ribas,20200836
Mataró,España,30/01/1998,27,Dani García,30000015
Cerceda (A Coruña),España,16/01/1997,28,Jonathan Barreiro,20200191
Rubí,España,10/05/1999,26,Sergi Martínez,20210335
Málaga,España,23/04/1994,31,Alberto Díaz,20209226
Roquetes (Tarragona),España,18/02/1997,28,Jaume Sorolla,20210852
Roquetes (Tarragona),España,18/02/1997,28,Jaume Sorolla,20210852
Lugo,España,17/08/1991,33,Erik Quintela,30001182
Madrid,España,27/05/1994,31,Willy Hernangómez,20209187
San Sebastián,España,08/11/1994,30,Darío Brizuela,20209919
Inca,España,21/06/2003,22,Michael Caicedo,30000925
Benifairo de la Valldigna,España,08/01/2002,23,Guillem Ferrando,20212102
Girona,España,28/07/1996,28,Yankuba Sima,20213230
Murcia,España,12/02/1990,35,Alex Hernández,20203802
Valladolid,España,04/12/2005,19,Sergio de Larrea,30001360
Madrid,España,05/02/2006,19,Hugo González,20213252
Llagostera,España,15/07/1997,27,Guillem Jou,20210815
Badalona,España,07/04/1992,33,Albert Ventura,20200247
Zaragoza,España,04/01/2005,20,Lucas Langarita,20213218
Barcelona,España,03/11/2007,17,Ian Platteeuw,20213414
Lleida,España,30/09/2007,17,Ferran Mauri,30003464
Barcelona,España,03/01/2006,19,Max Gaspà,20213406
Zaragoza,España,05/10/2003,21,Daniel Muñoz,30003202
Zaragoza,España,18/02/2004,21,Álex Moreno,20212593
Granollers,España,02/03/1999,26,Pep Busquets,20211754
Granollers,España,02/03/1999,26,Pep Busquets,20211754
Madrid,España,04/06/1993,32,Jaime Fernández,20204124
Roquetes (Tarragona),España,18/02/1997,28,Jaume Sorolla,20210852
Roquetes (Tarragona),España,18/02/1997,28,Jaume Sorolla,20210852
Málaga,España,21/03/2007,18,Manuel Trujillo,30003470
Bunyola,España,12/09/2006,18,Adrián Torres,30003447
Valencia,España,20/10/2005,19,Lucas Marí,20213202
Barcelona,España,13/10/2007,17,Raúl Villar,30003788
Puerto de la Cruz,España,29/05/2006,19,Luca Medal,30003443
,España,01/02/1999,26,Mikel Sanz,20212478
Bilbao,España,05/05/2004,21,Iker Chacón,30000663
Badalona,España,15/04/2005,20,Pau Majoral,20213146
Barcelona,España,11/01/2007,18,Enric Sanmartín,20213506
A coruña,España,24/03/2004,21,Santiago Martinez,30003485
Barcelona,España,25/04/2004,21,Jordi Rodriguez,30001247
Villaobispo de las Regueras,España,28/02/2007,18,Dani González,30003937
Madrid,España,04/06/2005,20,Osi Cerdá,30003444
